Name,Number of Records,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,665,960,"2,452","2,832","6,292",75,"25,067,407",219,217,27
Albania,"1,724","4,314","6,649","11,509","44,686",25,"3,153,731",82,37,192
Algeria,"12,300","32,559","101,980","6,115","8,774",56,"32,854,159",195,210,44
American Samoa,20,22,37,"7,313","15,200",127,"64,051",172,167,10
Andorra,72,114,199,"18,206","80,223",22,"73,483",10,8,210
Angola,530,683,"2,136","8,407","19,117",70,"16,095,214",154,137,31
Anguilla,27,35,75,"6,356","17,936",37,"12,256",191,149,112
Antigua and Barbuda,230,564,"1,345","10,056","28,122",35,"83,039",117,93,127
Argentina,"22,972","48,927","99,504","8,464","22,998",46,"38,747,148",153,116,69
Armenia,"2,678","7,993","15,264","11,134","26,347",24,"3,017,661",93,103,197
Aruba,194,409,811,"20,418","48,618",20,"102,897",7,29,219
Australia,"51,315","152,936","342,748","13,159","66,084",27,"20,310,208",45,16,180
Austria,"25,798","54,022","103,863","14,335","50,969",27,"8,291,979",30,24,180
Azerbaijan,"4,881","12,047","20,799","11,447","27,432",32,"8,352,021",85,97,144
Bahamas,378,606,"1,433","12,514","30,351",28,"323,295",60,82,173
Bahrain,905,"8,898","19,044","11,823","36,230",23,"724,788",75,60,204
Bangladesh,"13,321","27,801","63,101","5,841","8,716",50,"15,328,112",198,212,58
Barbados,100,129,466,"13,457","34,579",21,"291,933",38,66,214
Belarus,"16,451","39,342","82,766","6,994","12,466",38,"9,795,287",180,191,104
Belgium,"10,316","14,042","23,049","14,422","47,029",28,"10,398,049",29,32,173
Belize,295,447,801,"8,499","19,842",33,"275,546",152,131,138
Benin,340,492,"1,408","5,062","10,279",76,"8,490,301",207,205,25
Bermuda,40,52,67,"11,453","38,062",29,"64,174",84,52,165
Bhutan,278,488,"1,288","8,268","15,371",55,"637,013",156,165,48
Bolivia,"3,947","14,938","32,680","9,359","15,137",38,"9,182,015",134,169,104
Bosnia and Herzegovina,"5,419","11,413","18,813","11,819","27,693",30,"3,915,238",76,94,158
Botswana,652,"1,162","3,035","10,109","16,323",48,"1,835,938",115,159,64
Brazil,"120,405","483,614","926,723","7,938","22,560",53,"186,830,759",161,118,50
British Virgin Islands,61,103,315,"7,986","22,389",59,"22,016",160,119,41
Brunei Darussalam,836,"2,577","4,774","12,275","18,831",24,"373,831",64,140,197
Bulgaria,"7,327","16,905","28,803","13,293","53,709",29,"7,744,591",41,21,165
Burkina Faso,255,360,840,"11,182","20,640",85,"13,933,363",91,126,19
Burma,"14,207","36,509","104,777","12,775","19,646",38,"47,967,266",55,134,104
Burundi,124,210,759,"6,734","8,757",37,"7,858,791",185,211,112
Cambodia,"9,539","28,837","73,144","11,539","13,426",42,"13,955,507",81,181,89
Cameroon,496,897,"14,153","7,152","12,365",45,"17,795,149",175,192,76
Canada,"43,823","66,297","126,903","12,109","74,922",37,"32,270,507",70,10,112
Cape Verde,87,215,466,"9,473","18,101",31,"506,807",133,146,152
Cayman Islands,55,84,174,"9,476","32,428",22,"45,591",132,71,210
Central African Republic,13,13,57,"4,194","6,028",436,"4,191,429",213,219,2
Chad,103,153,417,"10,308","15,925",51,"10,145,609",110,162,55
Chile,"20,098","78,505","233,624","9,839","16,332",44,"16,295,102",121,158,81
