Name,Number of Record,Devices,Tests,Avg. Avg U Kbps,Avg. Avg D Kbps,Avg Lat Ms,Avg. Pop2005,Rank Upload,Rank Download,Rank Latency
Afghanistan,593,844,"1,802","3,066","6,867",77,"25,067,407",219,219,22
Albania,"2,194","5,927","9,202","12,371","41,781",30,"3,153,731",79,66,148
Algeria,"17,348","54,325","131,485","9,559","15,937",41,"32,854,159",156,194,73
American Samoa,19,24,30,"10,485","29,435",18,"64,051",130,110,223
Andorra,49,97,127,"22,055","98,633",44,"73,483",10,13,60
Angola,562,719,"1,852","9,176","20,676",43,"16,095,214",164,166,67
Anguilla,32,36,63,"8,851","22,392",53,"12,256",171,154,43
Antigua and Barbuda,206,464,971,"10,449","28,872",50,"83,039",134,114,49
Argentina,"22,114","43,349","72,694","9,468","26,400",41,"38,747,148",158,133,73
Armenia,"2,641","8,031","14,064","9,590","27,476",24,"3,017,661",154,126,199
Aruba,172,395,"1,004","18,708","65,974",23,"102,897",19,31,206
Australia,"49,147","128,164","269,285","14,690","103,546",27,"20,310,208",45,12,175
Austria,"23,935","49,091","84,569","14,602","60,097",29,"8,291,979",46,38,157
Azerbaijan,"4,141","8,652","12,783","11,979","32,580",27,"8,352,021",91,96,175
Bahamas,345,503,849,"11,487","29,744",32,"323,295",102,105,128
Bahrain,925,"9,940","18,991","15,364","78,341",22,"724,788",40,21,209
Bangladesh,"22,049","47,123","107,681","7,606","11,209",53,"15,328,112",191,214,43
Barbados,95,112,307,"10,659","31,256",28,"291,933",125,102,165
Belarus,"15,943","33,641","65,840","7,395","15,436",38,"9,795,287",194,199,91
Belgium,"10,505","15,342","22,834","13,926","60,974",32,"10,398,049",54,36,128
Belize,232,317,474,"6,882","16,892",32,"275,546",202,190,128
Benin,517,699,"1,628","13,922","29,120",30,"8,490,301",55,112,148
Bermuda,25,40,61,"15,190","55,844",19,"64,174",42,44,221
Bhutan,274,436,"1,191","10,451","24,762",35,"637,013",133,142,110
Bolivia,"5,843","21,697","36,552","10,036","17,961",38,"9,182,015",142,180,91
Bosnia and Herzegovina,"5,880","12,148","18,438","12,360","29,171",32,"3,915,238",80,111,128
Botswana,527,716,"1,410","13,420","29,645",31,"1,835,938",60,106,139
Brazil,"114,835","426,457","753,465","9,467","28,719",44,"186,830,759",159,117,60
British Virgin Islands,44,70,124,"9,117","29,063",80,"22,016",167,113,19
Brunei Darussalam,709,"2,005","3,821","22,837","54,951",19,"373,831",8,46,221
Bulgaria,"10,472","34,209","58,763","13,471","79,033",31,"7,744,591",59,20,139
Burkina Faso,417,658,"1,495","8,403","14,481",48,"13,933,363",182,205,51
Burma,"17,293","34,775","98,853","12,624","21,377",40,"47,967,266",77,161,79
Burundi,111,233,752,"7,939","8,501",30,"7,858,791",188,216,148
Cambodia,"8,462","22,415","58,077","10,910","15,879",31,"13,955,507",118,196,139
Cameroon,601,"1,315","3,496","8,555","19,459",36,"17,795,149",176,170,104
Canada,"57,828","96,700","196,241","12,786","80,356",40,"32,270,507",71,16,79
Cape Verde,116,202,679,"11,648","24,424",28,"506,807",98,144,165
Cayman Islands,62,102,210,"8,892","26,938",29,"45,591",170,129,157
Central African Republic,29,46,121,"1,111","4,231",414,"4,191,429",223,222,1
Chad,62,106,228,"18,185","20,692",20,"10,145,609",21,165,218
Chile,"25,020","91,639","211,619","10,180","17,778",41,"16,295,102",140,181,73
China,"265,534","587,485","2,235,196","29,485","147,515",30,"1,312,978,855",1,4,148
Colombia,"20,804","118,623","284,711","8,097","14,708",92,"4,494,579",187,204,16
Comoros,31,39,83,"9,145","19,546",193,"797,902",166,169,7
Congo,103,160,557,"9,725","25,750",26,"3,609,851",151,137,185
Cook Islands,29,44,91,"17,918","27,343",22,"13,984",26,127,209
Costa Rica,"5,560","20,909","33,761","8,837","26,123",30,"4,327,228",172,135,148
Cote d'Ivoire,965,"1,598","7,015","9,418","16,243",32,"18,584,701",162,193,128
Croatia,"18,581","63,561","116,733","14,135","67,851",34,"455,149",50,29,116
Cuba,525,766,"1,703","12,637","24,756",113,"11,259,905",76,143,12
Cyprus,"2,411","7,031","13,575","19,775","107,872",35,"836,321",16,9,110
