Mobile,Country,Upload,Download,Latency,GDP Growth
0.0,Afghanistan,428.0,356.0,-20.0,-1.9347782488959
0.0,Albania,5327.0,7265.0,-6.0,-3.31123944391327
0.0,Algeria,-133.0,1447.0,-15.0,-5.48099193515836
0.0,Andorra,55214.0,57985.0,3.0,-11.9560584192697
0.0,Angola,439.0,-742.0,15.0,-4.04051000025351
0.0,Antigua and Barbuda,147.0,909.0,-31.0,-15.9735096410208
0.0,Argentina,3735.0,3610.0,-8.0,-9.90523485573888
0.0,Armenia,4755.0,4156.0,-6.0,-7.59999999999999
0.0,Australia,2468.0,14392.0,0.0,-0.284839297785609
0.0,Austria,3096.0,11766.0,-4.0,-6.25903481882027
0.0,Azerbaijan,2576.0,1474.0,-3.0,-4.30998913316057
0.0,Bahrain,6687.0,24103.0,0.0,-5.81468342829542
0.0,Bangladesh,2796.0,2628.0,-11.0,2.37552165571601
0.0,Barbados,975.0,-24912.0,1.0,-17.6053641017878
0.0,Belarus,6560.0,6646.0,-4.0,-0.900000000246891
0.0,Belgium,2404.0,16564.0,-2.0,-6.28392995127165
0.0,Belize,3.0,343.0,-3.0,-14.0384211620734
0.0,Benin,1370.0,757.0,-7.0,3.84879240030133
0.0,Bhutan,2680.0,2056.0,-10.0,-6.77210161101478
0.0,Bolivia,1595.0,2754.0,-4.0,-7.82328995009992
0.0,Bosnia and Herzegovina,926.0,3168.0,-3.0,-4.32734580579653
0.0,Botswana,2739.0,1543.0,-15.0,-7.89305358895749
0.0,Brazil,12480.0,15469.0,-5.0,-4.05904827267295
0.0,Brunei Darussalam,4087.0,18239.0,9.0,1.20300193904603
0.0,Bulgaria,-10836.0,-3892.0,120.0,-4.15370282988493
0.0,Burkina Faso,30260.0,35171.0,-134.0,2.02238469536866
0.0,Burundi,6719.0,7522.0,4.0,0.297577119233125
0.0,Cambodia,-7563.0,-6429.0,8.0,-3.14103480632566
0.0,Cameroon,12050.0,7196.0,-40.0,0.730339198197697
0.0,Canada,-18798.0,-60006.0,4.0,-5.31294474285987
0.0,Central African Republic,12228.0,34307.0,-546.0,0.0
0.0,Chad,-3330.0,-5645.0,269.0,-0.890209999072951
0.0,Chile,-15895.0,-23854.0,161.0,-5.77150166876176
0.0,China,29527.0,3768.0,28.0,2.29999999995441
0.0,Colombia,-4907.0,-6656.0,618.0,-6.8473142056573
0.0,Comoros,-10110.0,4948.0,-95.0,4.91077747534176
0.0,Costa Rica,-1346.0,-11203.0,10.0,-4.53996591674169
0.0,Cote d'Ivoire,1391.0,14049.0,-38.0,1.81644146095073
0.0,Croatia,-2318.0,-3130.0,13.0,-8.36737821725714
0.0,Cyprus,-3107.0,-13789.0,160.0,-5.10347951905253
0.0,Czech Republic,-6867.0,-4238.0,3.0,-5.79357128432328
0.0,Denmark,-72265.0,-83683.0,251.0,-2.06212495876164
0.0,Djibouti,103383.0,122983.0,-30.0,0.499999999999986
0.0,Dominica,-4823.0,-12913.0,22.0,-16.7091602926228
0.0,Dominican Republic,14291.0,17726.0,-35.0,-6.72023937283404
0.0,Ecuador,-6849.0,-1544.0,-4.0,-7.75012337710913
0.0,El Salvador,2501.0,7308.0,-16.0,-7.94398461326071
0.0,Equatorial Guinea,589.0,7559.0,-127.0,-4.89335647440198
0.0,Estonia,-23240.0,-32097.0,68.0,-2.95106931268964
0.0,Ethiopia,35171.0,47342.0,-43.0,6.05661779202561
0.0,Fiji,12747.0,33645.0,-30.0,-19.0487564856799
0.0,Finland,-21712.0,-42456.0,15.0,-2.87069059271343
0.0,France,-7622.0,18963.0,-18.0,-7.85525603703762
0.0,Gabon,-1991.0,-5654.0,21.0,-1.32393655297315
0.0,Georgia,-13241.0,-10783.0,20.0,-6.15967292756974
0.0,Germany,2146.0,-37904.0,-1.0,-4.56961671737398
0.0,Ghana,-1367.0,47064.0,-32.0,0.414443468055197
0.0,Greece,64440.0,88095.0,-22.0,-8.24773611483073
